epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1116.56,0.62647,3.92588,1.34722,0.40404,1.17594,1,1,0.995,0.97508,1,1,0.995,0.94971,0.34932,3.02223,0.41103,0.25512,1.05955,0.0012212,0.0012212,0.0012212
61,1132.19,0.59705,3.76287,1.45967,0.37208,1.19207,1,1,0.995,0.95654,1,1,0.995,0.94606,0.36278,3.06316,0.37578,0.26803,1.0981,0.001208,0.001208,0.001208
62,1147.73,0.61059,3.83867,1.49317,0.38158,1.20115,0.99519,1,0.995,0.97198,0.99519,1,0.995,0.91494,0.37195,3.32903,0.44596,0.28453,1.10253,0.0011948,0.0011948,0.0011948
63,1162.94,0.59874,3.89744,1.4706,0.37089,1.19339,0.99336,1,0.995,0.93777,0.99336,1,0.995,0.91405,0.35103,3.16074,0.41289,0.26557,1.0444,0.0011816,0.0011816,0.0011816
64,1178.37,0.6677,4.13169,1.69876,0.38423,1.24915,0.99351,1,0.995,0.92444,0.99351,1,0.995,0.95178,0.3923,2.75424,0.38521,0.27614,1.11637,0.0011684,0.0011684,0.0011684
65,1193.97,0.67862,4.18375,1.51811,0.37629,1.26858,0.9948,1,0.995,0.91717,0.9948,1,0.995,0.9107,0.49237,3.56504,0.58587,0.34257,1.25735,0.0011552,0.0011552,0.0011552
66,1209.61,0.62362,4.33416,1.52691,0.38227,1.16963,1,1,0.995,0.98469,1,1,0.995,0.90597,0.33729,3.22724,0.50097,0.27772,1.07169,0.001142,0.001142,0.001142
67,1225.24,0.61011,3.92939,1.34523,0.35407,1.16885,1,1,0.995,0.91452,1,1,0.995,0.90757,0.43117,3.61664,0.44017,0.26498,1.1105,0.0011288,0.0011288,0.0011288
68,1241,0.67325,3.88329,1.62582,0.37327,1.21688,1,1,0.995,0.95792,1,1,0.995,0.93338,0.40327,3.26223,0.44799,0.2619,1.06628,0.0011156,0.0011156,0.0011156
69,1256.6,0.62631,3.68568,1.4119,0.37031,1.17296,1,1,0.995,0.98379,1,1,0.995,0.90821,0.31759,3.9378,0.4463,0.30157,1.00519,0.0011024,0.0011024,0.0011024
70,1272.31,0.58007,3.53433,1.47687,0.35031,1.14706,1,1,0.995,0.975,1,1,0.995,0.96934,0.3154,2.80235,0.40664,0.25894,1.01834,0.0010892,0.0010892,0.0010892
