epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,33644.3,0.47394,1.22409,1.34322,0.29243,1.01764,0.99797,1,0.995,0.99314,0.99797,1,0.995,0.99203,0.22776,0.94224,0.41705,0.18168,0.94129,0.0007096,0.0007096,0.0007096
46,34367.5,0.45527,1.27289,1.29243,0.27372,0.98499,0.99804,1,0.995,0.99296,0.99804,1,0.995,0.995,0.24367,1.09013,0.43743,0.20709,0.97113,0.000703,0.000703,0.000703
47,35124.8,0.45081,1.26204,1.30597,0.28497,0.99817,1,1,0.995,0.98881,1,1,0.995,0.995,0.22688,0.94755,0.33344,0.1876,0.91126,0.0006964,0.0006964,0.0006964
48,35836.1,0.43632,1.25208,1.18299,0.27596,0.97443,0.99802,1,0.995,0.98784,0.99802,1,0.995,0.995,0.22752,0.77066,0.35534,0.19457,0.91583,0.0006898,0.0006898,0.0006898
49,36642.7,0.45846,1.10499,1.40762,0.28883,1.02057,1,1,0.995,0.97581,1,1,0.995,0.995,0.26413,0.84834,0.33704,0.21626,0.95418,0.0006832,0.0006832,0.0006832
50,37352.8,0.47493,1.16119,1.40486,0.29633,1.00227,0.99801,1,0.995,0.99283,0.99801,1,0.995,0.995,0.23507,0.77569,0.39477,0.21054,0.94656,0.0006766,0.0006766,0.0006766
51,38078.6,0.45666,1.17134,1.41269,0.2998,1.01838,0.99787,1,0.995,0.98906,0.99787,1,0.995,0.995,0.24536,0.97883,0.44714,0.21136,0.96922,0.00067,0.00067,0.00067
52,38778.8,0.42167,1.18059,1.16532,0.28013,0.9832,0.99786,1,0.995,0.99284,0.99786,1,0.995,0.995,0.22311,0.88298,0.49589,0.18068,0.92449,0.0006634,0.0006634,0.0006634
53,39530.4,0.43196,1.23561,1.17005,0.28214,0.98627,0.99803,1,0.995,0.99328,0.99803,1,0.995,0.995,0.22016,0.8365,0.33875,0.1868,0.90618,0.0006568,0.0006568,0.0006568
54,40231.3,0.41643,1.31126,1.15244,0.27275,0.94668,1,1,0.995,0.99356,1,1,0.995,0.995,0.23896,0.95928,0.32263,0.21369,0.92462,0.0006502,0.0006502,0.0006502
55,40957.5,0.42739,1.24938,1.15283,0.27782,0.96643,0.99811,1,0.995,0.98619,0.99811,1,0.995,0.995,0.20973,0.91206,0.38835,0.18149,0.8944,0.0006436,0.0006436,0.0006436
56,41678,0.4017,1.14972,1.08252,0.26925,0.92593,0.99798,1,0.995,0.96465,0.99798,1,0.995,0.995,0.24793,0.92866,0.41982,0.1963,0.92525,0.000637,0.000637,0.000637
57,42482.5,0.39152,1.10768,0.98329,0.26117,0.92849,0.998,1,0.995,0.99258,0.998,1,0.995,0.995,0.21809,0.78384,0.40734,0.18764,0.88947,0.0006304,0.0006304,0.0006304
58,43203,0.36799,1.09317,0.92567,0.24708,0.91053,0.99808,1,0.995,0.99332,0.99808,1,0.995,0.995,0.24633,0.86623,0.39245,0.17938,0.91344,0.0006238,0.0006238,0.0006238
59,43957.9,0.38821,1.08122,0.89513,0.25746,0.92382,0.998,1,0.995,0.98855,0.998,1,0.995,0.995,0.2309,0.82205,0.45049,0.18764,0.89727,0.0006172,0.0006172,0.0006172
60,44661.8,0.37944,1.1114,0.90708,0.25379,0.89684,1,1,0.995,0.99356,1,1,0.995,0.995,0.21051,0.76144,0.40713,0.18625,0.90172,0.0006106,0.0006106,0.0006106
61,45477.4,0.35185,1.08216,0.80554,0.24223,0.92256,0.99806,1,0.995,0.9934,0.99806,1,0.995,0.995,0.24085,0.87366,0.42365,0.18738,0.89469,0.000604,0.000604,0.000604
62,46179,0.37206,1.18878,0.79123,0.25172,0.89012,0.99783,1,0.995,0.98891,0.99783,1,0.995,0.995,0.22386,0.93751,0.41227,0.18728,0.90305,0.0005974,0.0005974,0.0005974
63,46905.5,0.35908,1.15062,0.7195,0.24184,0.87927,0.99801,1,0.995,0.99336,0.99801,1,0.995,0.995,0.20417,0.8398,0.40967,0.18004,0.88582,0.0005908,0.0005908,0.0005908
64,47613.6,0.33993,1.13003,0.65472,0.23041,0.85966,0.99801,1,0.995,0.99311,0.99801,1,0.995,0.995,0.22974,1.04786,0.33362,0.1874,0.87599,0.0005842,0.0005842,0.0005842
65,48379.2,0.33466,1.14925,0.68231,0.22966,0.87651,0.99799,1,0.995,0.99309,0.99799,1,0.995,0.995,0.21108,0.69037,0.31377,0.18481,0.88546,0.0005776,0.0005776,0.0005776
66,49088.3,0.32946,1.07749,0.58805,0.22463,0.85087,1,1,0.995,0.995,1,1,0.995,0.995,0.19949,0.90017,0.28766,0.17676,0.84814,0.000571,0.000571,0.000571
67,49750.9,0.33405,1.09035,0.61619,0.22631,0.83796,1,1,0.995,0.995,1,1,0.995,0.995,0.20101,0.77576,0.30256,0.17705,0.8617,0.0005644,0.0005644,0.0005644
68,50467.9,0.32128,1.08351,0.59348,0.21951,0.85037,1,1,0.995,0.99356,1,1,0.995,0.995,0.21578,0.78416,0.33369,0.19255,0.87774,0.0005578,0.0005578,0.0005578
69,51241.5,0.31235,0.96491,0.56452,0.21661,0.83374,1,1,0.995,0.99035,1,1,0.995,0.995,0.21026,0.75472,0.31564,0.19272,0.86167,0.0005512,0.0005512,0.0005512
70,51961.2,0.337,1.0153,0.53886,0.22058,0.83059,1,1,0.995,0.995,1,1,0.995,0.995,0.19734,0.8152,0.24938,0.17317,0.84856,0.0005446,0.0005446,0.0005446
71,52718.3,0.32906,1.03929,0.51987,0.21771,0.83679,1,1,0.995,0.99356,1,1,0.995,0.995,0.19236,0.87941,0.34215,0.16367,0.85103,0.000538,0.000538,0.000538
72,53422.6,0.34197,1.0348,0.53004,0.22293,0.79792,0.99805,1,0.995,0.99044,0.99805,1,0.995,0.995,0.2333,0.85779,0.32064,0.18796,0.88448,0.0005314,0.0005314,0.0005314
73,54127.8,0.33538,1.1346,0.50211,0.22336,0.82057,0.99805,1,0.995,0.9933,0.99805,1,0.995,0.99264,0.19394,0.82176,0.33265,0.17484,0.85955,0.0005248,0.0005248,0.0005248
74,54832.1,0.31153,1.05768,0.4962,0.221,0.837,1,1,0.995,0.995,1,1,0.995,0.99356,0.20623,0.75968,0.337,0.18187,0.85436,0.0005182,0.0005182,0.0005182
75,55570.8,0.31109,0.9915,0.44767,0.21869,0.82766,1,1,0.995,0.9915,1,1,0.995,0.995,0.21552,0.83238,0.50801,0.1834,0.87869,0.0005116,0.0005116,0.0005116
76,56281.5,0.30903,0.97257,0.50999,0.21363,0.81971,1,1,0.995,0.995,1,1,0.995,0.995,0.19285,0.93822,0.43392,0.17116,0.8332,0.000505,0.000505,0.000505
